PICO_IDX,Paper_IDX,Ref,PMID
a1,2,"Altindal M, Yildirim T, Turkmen E, et al. Safety of Percutaneous Ultrasound-Guided Kidney Biopsy in Patients with AA Amyloidosis. Nephron 2015; 131: 17-22.",26227420 
a1,3,"Chen TK, Estrella MM, Fine DM. Predictors of kidney biopsy complication among patients with systemic lupus erythematosus. Lupus 2012; 21: 848-854.",22415926 
a1,4,"Eiro M, Katoh T, Watanabe T. Risk factors for bleeding complications in percutaneous renal biopsy. Clin Exp Nephrol 2005; 9: 40-45.",15830272 
a1,5,"Jordan N, Chaib A, Sangle S, et al. Association of thrombotic microangiopathy and intimal hyperplasia with bleeding post-renal biopsy in antiphospholipid antibody-positive patients. Arthritis Care Res (Hoboken) 2014; 66: 725-731.",24127353 
a1,6,"Malvar A, Alberton V, Lococo B, et al. Kidney biopsy-based management of maintenance immunosuppression is safe and may ameliorate flare rate in lupus nephritis. Kidney Int 2020; 97: 156-162.",31685314 
a1,7,"Manno C, Strippoli GF, Arnesano L, et al. Predictors of bleeding complications in percutaneous ultrasound-guided renal biopsy. Kidney Int 2004; 66: 1570-1577.",15458453 
a1,8,"Mejía-Vilet JM, Márquez-Martínez MA, Cordova-Sanchez BM, et al. Simple risk score for prediction of haemorrhagic complications after a percutaneous renal biopsy. Nephrology (Carlton) 2018; 23: 523-529.",28419667 
a1,9,"Nadium WK, Abdelwahab HH, Ibrahim MA, et al. Histological pattern of primary glomerular diseases among adult Sudanese patients: A single center experience. Indian J Nephrol 2013; 23: 176-179.",23814414 
a1,10,"Pan CF, Chen YC, Chen HS, et al. Renal biopsy in the elderly: Analysis of ninety-four cases in a single center, MMH. Journal of Internal Medicine of Taiwan 2003; 14: 69-76.",
a1,11,"Restrick LJ, Blomley MJ, Drayson RA, et al. Percutaneous renal biopsy in the district general hospital. Journal of the Royal College of Physicians of London 1993; 27: 247-251.",8377158 
a1,12,"Sarabu N, Maddukuri G, Munikrishnappa D, et al. Safety and efficacy of transjugular renal biopsy performed by interventional nephrologists. Semin Dial 2011; 24: 343-348.",21198847 
a1,13,"Sobh M, Moustafa F, Ghoniem M. Value of renal biopsy in chronic renal failure. International urology and nephrology 1988; 20: 77-83.",3283073 
a1,14,"Tøndel C, Vikse BE, Bostad L, et al. Safety and complications of percutaneous kidney biopsies in 715 children and 8573 adults in Norway 1988-2010. Clinical journal of the American Society of Nephrology : CJASN 2012; 7: 1591-1597.",22837269 
a1,15,"Tsapenko M, El-Zoghby ZM, Sethi S. Renal histological lesions and outcome in liver transplant recipients. Clin Transplant 2012; 26: E48-54.",22017292 
a1,16,"Zhang PP, Ge YC, Li SJ, et al. Renal biopsy in type 2 diabetes: timing of complications and evaluating of safety in Chinese patients. Nephrology (Carlton) 2011; 16: 100-105.",21175985 
a1,17,"Dong L, Li J, Zhao M, et al. Application of B-ultrasound information image in Renal Puncture Biopsy treatment and Nursing. Pak J Med Sci 2021; 37: 1564-1568.",34712283 
a1,18,"Gimenez LF, Micali S, Chen RN, et al. Laparoscopic renal biopsy. Kidney Int 1998; 54: 525-529.",9690219 
a1,19,"Joseph AJ, Compton SP, Holmes LH, et al. Utility of percutaneous renal biopsy in chronic kidney disease. Nephrology (Carlton) 2010; 15: 544-548.",20649874 
a1,20,"Manno C, Bonifati C, Torres DD, et al. Desmopressin acetate in percutaneous ultrasound-guided kidney biopsy: a randomized controlled trial. Am J Kidney Dis 2011; 57: 850-855.",21354681 
a1,21,"Moulin B, Dhib M, Sommervogel C, et al. [Value of renal biopsy in the elderly. 32 cases]. Presse Med 1991; 20: 1881-1885.",1836622 
a1,22,"Roccatello D, Sciascia S, Rossi D, et al. Safety of outpatient percutaneous native renal biopsy in systemic autoimmune diseases: results from a monocentric cohort. Lupus 2018; 27: 1393-1394.",29325491 
a1,23,"Yu MC, Lee F, Huang WH, et al. Percutaneous ultrasound-guided renal biopsy in children: The need for renal biopsy in pediatric patients with persistent asymptomatic microscopic hematuria. Biomed J 2014; 37: 391-397.",25179699 
a2,24,"Allen AM, Kim WR, Larson JJ, et al. Serum Cystatin C as an Indicator of Renal Function and Mortality in Liver Transplant Recipients. Transplantation 2015; 99: 1431-1435.",25654627 
a2,25,"Bhasin B, Lau B, Atta MG, et al. HIV viremia and T-cell activation differentially affect the performance of glomerular filtration rate equations based on creatinine and cystatin C. PLoS One 2014; 8: e82028.",24376511 
a2,26,"Bluhme E, Malenicka S, Fischler B, et al. Comparison of cystatin C, creatinine, and iohexol clearance in pediatric liver transplantation-a retrospective cohort study. Pediatr Transplant 2021; 25: e13993.",34010490 
a2,27,"Chen N, Shi H, Zhang L, et al. GFR Estimation Using a Panel of Filtration Markers in Shanghai and Beijing. Kidney Med 2020; 2: 172-180.",32734236 
a2,28,"De Souza V, Hadj-Aissa A, Dolomanova O, et al. Creatinine- versus cystatine C-based equations in assessing the renal function of candidates for liver transplantation with cirrhosis. Hepatology 2013; 59: 1522-1531.",24123197 
a2,29,"Fan L, Levey AS, Gudnason V, et al. Comparing GFR Estimating Equations Using Cystatin C and Creatinine in Elderly Individuals. J Am Soc Nephrol 2014; 26: 1982-1989.",25527647 
a2,30,"Horio M, Imai E, Yasuda Y, et al. GFR estimation using standardized serum cystatin C in Japan. Am J Kidney Dis 2012; 61: 197-203.",22892396 
a2,31,"Inker LA, Levey AS, Tighiouart H, et al. Performance of glomerular filtration rate estimating equations in a community-based sample of Blacks and Whites: the multiethnic study of atherosclerosis. Nephrology, dialysis, transplantation: official publication of the European Dialysis and Transplant Association - European Renal Association 2017; 33: 417-425.",28505377 
a2,32,"Liu X, Ma H, Huang H, et al. Is the Chronic Kidney Disease Epidemiology Collaboration creatinine-cystatin C equation useful for glomerular filtration rate estimation in the elderly? Clin Interv Aging 2013; 8: 1387-1391.",24143084 
a2,33,"Lopes MB, Araújo LQ, Passos MT, et al. Estimation of glomerular filtration rate from serum creatinine and cystatin C in octogenarians and nonagenarians. BMC nephrology 2013; 14: 265.",24295505 
a2,34,"Machado JD, Camargo EG, Boff R, et al. Combined creatinine-cystatin C CKD-EPI equation significantly underestimates measured glomerular filtration rate in people with type 2 diabetes mellitus. Clin Biochem 2018; 53: 43-48.",29331592 
a2,35,"Pottel H, Björk J, Rule AD, et al. Cystatin C-Based Equation to Estimate GFR without the Inclusion of Race and Sex. The New England journal of medicine 2023; 388: 333-343.",36720134 
a2,36,"Wang Y, Levey AS, Inker LA, et al. Performance and Determinants of Serum Creatinine and Cystatin C-Based GFR Estimating Equations in South Asians. Kidney Int Rep 2021; 6: 962-975.",33912746 
a2,37,"Werner K, Pihlsgård M, Elmståhl S, et al. Combining Cystatin C and Creatinine Yields a Reliable Glomerular Filtration Rate Estimation in Older Adults in Contrast to β-Trace Protein and β2Microglobulin. Nephron 2017; 137: 29-37.",28407629 
a2,38,"Björk J, Grubb A, Gudnason V, et al. Comparison of glomerular filtration rate estimating equations derived from creatinine and cystatin C: validation in the Age, Gene/Environment Susceptibility-Reykjavik elderly cohort. Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association 2017; 33: 1380-1388.",29040701 
a2,39,"Bukabau JB, Sumaili EK, Cavalier E, et al. Performance of glomerular filtration rate estimation equations in Congolese healthy adults: The inopportunity of the ethnic correction. PLoS One 2018; 13: e0193384.",29499039 
